年份_Year,大區_District,選區編號_Constituency_code,選區名_Constituency_name_chi,該選區當選人_Candidate_name_chi,政治聯繫_Political_affiliation,所屬派別_Political_camp,獲票數_Count_of_votes,得票率_Percentage_of_votes_obtained(%),票選或自動當選_Elected_or_uncontested,該選區登記選民數_Count_of_registered_voter,該選區居民數_Count_of_resident
2011,九龍城,G06,何文田,鄭利明,,建,1872,52.73,Elected,9066,20943
2011,九龍城,G07,嘉道理,蕭亮聲,香港民主民生協進會,泛,1632,48.31,Elected,7938,18927
2011,九龍城,G08,太子,黃以謙,,建,1554,71.22,Elected,6409,16675
2011,九龍城,G09,九龍塘,何顯明,自由黨,建,,,Uncontested,7012,19115
2011,九龍城,G10,龍城,吳寶強,民主建港協進聯盟,建,2335,82.51,Elected,6841,15018
2011,九龍城,G11,啟德,楊振宇,香港民主民生協進會,泛,1427,49.22,Elected,7518,20636
2011,九龍城,G12,海心,潘國華,民主建港協進聯盟,建,2613,76.14,Elected,7664,15816
2011,九龍城,G13,土瓜灣北,李慧琼,民主建港協進聯盟,建,1534,80.57,Elected,5406,13160
2011,九龍城,G14,土瓜灣南,潘志文,民主黨,泛,1476,52.43,Elected,6183,14900
2011,九龍城,G15,鶴園海逸,蕭婉嫦,民主建港協進聯盟,建,1665,64.64,Elected,6619,19600
2011,九龍城,G16,黃埔東,梁美芬,,建,2236,53.52,Elected,8375,17945
2011,九龍城,G17,黃埔西,劉偉榮,,建,1710,61.31,Elected,7371,20912
2011,九龍城,G18,紅磡灣,張仁康,,建,1994,73.74,Elected,8088,17949
2011,九龍城,G19,紅磡,任國棟,香港民主民生協進會,泛,1360,59.34,Elected,5106,14907
2011,九龍城,G20,家維,勞超傑,,建,2650,72.64,Elected,8542,17136
2011,九龍城,G21,愛民,吳奮金,民主建港協進聯盟,建,2821,60.99,Elected,9282,14117
2011,九龍城,G22,愛俊,左滙雄,,建,2835,61.59,Elected,9600,13714
1999,元朗,M01,豐年,黃彩媚,,其他,957,38.22,Elected,8075,20055
1999,元朗,M02,水邊,黃健榮,,其他,1397,54.87,Elected,8305,20618
1999,元朗,M03,南屏,黃偉賢,民主黨,泛,2129,71.13,Elected,6929,17118
1999,元朗,M04,北朗,陳兆基,民建聯,建,,,Uncontested,7232,16888
1999,元朗,M05,大橋,盧旭芬,民建聯,建,1483,58.94,Elected,8524,20537
1999,元朗,M06,鳳翔,麥業成,一二三民主聯盟,泛,1693,68.82,Elected,7458,20442
1999,元朗,M07,十八鄉北,李敬業,,其他,,,Uncontested,6627,19981
1999,元朗,M08,十八鄉南,梁福元,,其他,2228,53.52,Elected,8566,20053
1999,元朗,M09,屏山南,張福賢,,其他,826,52.71,Elected,4387,14270
1999,元朗,M10,屏山北,鄧慶業,,其他,1769,55.01,Elected,7126,16490
1999,元朗,M11,廈村,鄧坤盛,,建,1293,48.9,Elected,5123,11209
