,ID,Year,District_code,District_name_chi,Constituency_code,Constituency_name,Candidate_name,Candidate_alias,Gender,Age,Occupation,Win_or_not,Uncontested_or_not,Political affiliation,Camp,Votes,Percentage_of_votes_obtained,得票率 估算
1999黃嘉榮,1999R05黃嘉榮,1999,R,沙田,R05,愉城,黃嘉榮,,男,43,中學教師,,,公民力量,建,995,43.68,
1999劉帶生,1999R05劉帶生,1999,R,沙田,R05,愉城,劉帶生,,男,46,行政經理,Y,,民主黨,泛,1262,55.4,
1999蔣德明,1999R06蔣德明,1999,R,沙田,R06,王屋,蔣德明,,男,41,資訊科技技術員,,,公民力量,建,1200,48.23,
1999梁志偉,1999R06梁志偉,1999,R,沙田,R06,王屋,梁志偉,,男,46,物業管理顧問,Y,,自由黨,建,1256,50.48,
1999梁炳華,1999R07梁炳華,1999,R,沙田,R07,沙角,梁炳華,,男,55,保險,,,,其他,332,9.6,
1999戴國均,1999R07戴國均,1999,R,沙田,R07,沙角,戴國均,,男,52,業務經理,,,,其他,1083,31.31,
1999楊倩紅,1999R07楊倩紅,1999,R,沙田,R07,沙角,楊倩紅,,女,48,秘書,Y,,公民力量,建,2016,58.28,
1999何淑儀,1999R08何淑儀,1999,R,沙田,R08,博康,何淑儀,,女,45,行政經理,,,,其他,967,20.15,
1999陳國添,1999R08陳國添,1999,R,沙田,R08,博康,陳國添,,男,45,行政人員,Y,,公民力量,建,3794,79.04,
1999林康華,1999R09林康華,1999,R,沙田,R09,乙明,林康華,,男,44,電訊技術主任,Y,Uncontested,公民力量,建,,,
1999劉江華,1999R10劉江華,1999,R,沙田,R10,秦金,劉江華,,男,42,全職議員,Y,Uncontested,民建聯,建,,,
1999許毓鴻,1999R11許毓鴻,1999,R,沙田,R11,新翠,許毓鴻,,男,49,公司董事,,,,建,253,8.22,
1999李錦明,1999R11李錦明,1999,R,沙田,R11,新翠,李錦明,,男,49,全職議員,Y,,公民力量,建,2020,65.63,
1999溫耀宗,1999R11溫耀宗,1999,R,沙田,R11,新翠,溫耀宗,,男,38,社區工作者,,,民主黨,泛,784,25.47,
1999梁永雄,1999R12梁永雄,1999,R,沙田,R12,大圍,梁永雄,,男,40,運輸業,Y,,民主黨,泛,1658,56.94,
1999陳啟庸,1999R12陳啟庸,1999,R,沙田,R12,大圍,陳啟庸,,男,60,全職議員,,,港進聯,建,1241,42.62,
1999李源錦,1999R13李源錦,1999,R,沙田,R13,美城,李源錦,,男,44,九巴車長,,,,其他,741,36.59,
1999袁貴才,1999R13袁貴才,1999,R,沙田,R13,美城,袁貴才,,男,44,全職區議員,Y,,民建聯,建,1247,61.58,
1999倫國輝,1999R14倫國輝,1999,R,沙田,R14,下城門,倫國輝,,男,37,行政管理,,,,其他,441,24.65,
1999鄧永昌,1999R14鄧永昌,1999,R,沙田,R14,下城門,鄧永昌,,男,44,證券從業員,Y,,公民力量,建,1330,74.34,
1999彭長緯,1999R15彭長緯,1999,R,沙田,R15,穗禾,彭長緯,,男,46,全職議員,Y,Uncontested,民建聯,建,,,
1999李浩輝,1999R16李浩輝,1999,R,沙田,R16,火炭,李浩輝,,男,39,電腦統籌經理,,,,其他,727,48.73,
1999廖韻兒,1999R16廖韻兒,1999,R,沙田,R16,火炭,廖韻兒,,女,39,保險從業員,Y,,公民力量,建,753,50.47,
1999衛慶祥,1999R17衛慶祥,1999,R,沙田,R17,駿馬,衛慶祥,,男,40,市務發展總監,,,民主黨,泛,503,46.45,
1999張瑞鋒,1999R17張瑞鋒,1999,R,沙田,R17,駿馬,張瑞鋒,,男,22,助理工程師,Y,,民建聯,建,573,52.91,
1999關天賜,1999R18關天賜,1999,R,沙田,R18,恒濤,關天賜,,男,36,專業旅遊顧問,,,,其他,208,6.64,
1999楊祥利,1999R18楊祥利,1999,R,沙田,R18,恒濤,楊祥利,,男,39,社區工作者,Y,,民建聯,建,1793,57.27,
1999李寶明,1999R18李寶明,1999,R,沙田,R18,恒濤,李寶明,,男,56,商人／大學顧問,,,港進聯,建,1074,34.3,
1999何淑萍,1999R19何淑萍,1999,R,沙田,R19,錦豐,何淑萍,,女,38,全職議員,,,民主黨,泛,1648,46.63,
1999陳克勤,1999R19陳克勤,1999,R,沙田,R19,錦豐,陳克勤,,男,23,社區工作者,Y,,民建聯,建,1875,53.06,
1999李子榮,1999R20李子榮,1999,R,沙田,R20,新港城,李子榮,,男,37,中學教師,Y,,,建,888,41.05,
1999李盤勝,1999R20李盤勝,1999,R,沙田,R20,新港城,李盤勝,,男,38,教師,,,前綫,泛,562,25.98,
1999陳竟明,1999R20陳竟明,1999,R,沙田,R20,新港城,陳竟明,,男,39,大學副教授,,,民主黨,泛,702,32.45,
1999蔡亞仲,1999R21蔡亞仲,1999,R,沙田,R21,利安,蔡亞仲,蔡文仲,男,52,行政人員,Y,,公民力量,建,2080,72.98,
1999馬兆堅,1999R21馬兆堅,1999,R,沙田,R21,利安,馬兆堅,,男,35,註冊保險顧問,,,前綫,泛,747,26.21,
1999羅光強,1999R22羅光強,1999,R,沙田,R22,富寶,羅光強,,男,39,機械工程顧問,Y,,,建,1857,62.76,
1999張家強,1999R22張家強,1999,R,沙田,R22,富寶,張家強,,男,38,執業會計師,,,,其他,644,21.76,
1999黃冠雄,1999R22黃冠雄,1999,R,沙田,R22,富寶,黃冠雄,,男,34,地區幹事,,,前綫,泛,444,15.01,
1999黃國雄,1999R23黃國雄,1999,R,沙田,R23,錦英,黃國雄,,男,42,經理,Y,,前綫,泛,1392,49.86,
1999董惠明,1999R23董惠明,1999,R,沙田,R23,錦英,董惠明,,男,46,全職區議員,,,民建聯,建,1373,49.18,
1999鄭景鴻,1999R24鄭景鴻,1999,R,沙田,R24,耀安,鄭景鴻,,男,45,大學行政人員,,,前綫,泛,1041,28.76,
1999黃戊娣,1999R24黃戊娣,1999,R,沙田,R24,耀安,黃戊娣,,女,51,全職區議員,Y,,民建聯,建,2551,70.49,
1999陳道煬,1999R25陳道煬,1999,R,沙田,R25,恒安,陳道煬,,男,59,董事／經理,,,,泛,436,15.87,
1999蔡笑興,1999R25蔡笑興,1999,R,沙田,R25,恒安,蔡笑興,,女,44,中心主任,,,,建,879,31.99,
1999鄭則文,1999R25鄭則文,1999,R,沙田,R25,恒安,鄭則文,,男,57,退休公務員,Y,,前綫,泛,1418,51.6,
1999王昌年,1999R26王昌年,1999,R,沙田,R26,大水坑,王昌年,,男,39,建造經理,,,民主黨,泛,932,28.24,
1999何秀武,1999R26何秀武,1999,R,沙田,R26,大水坑,何秀武,,男,51,行政董事,Y,,港進聯,建,2351,71.24,
1999黃日新,1999R27黃日新,1999,R,沙田,R27,碧湖,黃日新,,男,48,行政經理,,,民主黨,泛,657,38.35,
1999梁國顯,1999R27梁國顯,1999,R,沙田,R27,碧湖,梁國顯,,男,52,行政經理,Y,,港進聯,建,1030,60.13,
1999周偉東,1999R28周偉東,1999,R,沙田,R28,廣康,周偉東,,男,37,全職議員,,,民主黨,泛,1225,47.8,
1999鄭楚光,1999R28鄭楚光,1999,R,沙田,R28,廣康,鄭楚光,,男,52,駕駛教師,Y,,民建聯,建,1320,51.5,
1999何民傑,1999R29何民傑,1999,R,沙田,R29,廣源,何民傑,,男,23,議員助理,,,,其他,793,29.98,
1999易順娥,1999R29易順娥,1999,R,沙田,R29,廣源,易順娥,,女,48,社區幹事,Y,,,泛,984,37.2,
1999李有成,1999R29李有成,1999,R,沙田,R29,廣源,李有成,,男,45,公司董事,,,民建聯,建,852,32.21,
1999梁志堅,1999R30梁志堅,1999,R,沙田,R30,曾大屋,梁志堅,,男,49,行政人員,Y,Uncontested,公民力量,建,,,
1999馮麗娟,1999R31馮麗娟,1999,R,沙田,R31,新田圍,馮麗娟,,女,47,社區事務主任,,,公民力量,建,1272,39.31,
1999程張迎,1999R31程張迎,1999,R,沙田,R31,新田圍,程張迎,,男,41,中學教師,Y,,民主黨,泛,1950,60.26,
1999韋國洪,1999R32韋國洪,1999,R,沙田,R32,徑口,韋國洪,,男,45,全職議員,Y,,公民力量,建,2210,71.11,
1999楊玉娟,1999R32楊玉娟,1999,R,沙田,R32,徑口,楊玉娟,,女,48,議員地區幹事,,,前綫,泛,876,28.19,
1999許惠玲,1999R33許惠玲,1999,R,沙田,R33,顯嘉,許惠玲,,女,42,業務主任,,,,其他,498,12.69,
1999莫偉雄,1999R33莫偉雄,1999,R,沙田,R33,顯嘉,莫偉雄,,男,44,全職區議員,Y,,前綫,泛,1735,44.22,
1999陳小珠,1999R33陳小珠,1999,R,沙田,R33,顯嘉,陳小珠,,女,46,社區工作者,,,民建聯,建,1679,42.79,
1999何厚祥,1999R34何厚祥,1999,R,沙田,R34,美田,何厚祥,,男,47,中學教師,Y,Uncontested,公民力量,建,,,
1999蔡根培,1999R35蔡根培,1999,R,沙田,R35,田心,蔡根培,,男,70,商人,Y,Uncontested,港進聯,建,,,
1999黃澤標,1999R36黃澤標,1999,R,沙田,R36,翠田,黃澤標,,男,49,行政人員,Y,,公民力量,建,1963,75.21,
1999姜為明,1999R36姜為明,1999,R,沙田,R36,翠田,姜為明,,男,39,物料管理主任,,,自由黨,建,614,23.52,
1999梁志成,1999S01梁志成,1999,S,葵青,S01,葵興,梁志成,,男,34,列車車長,Y,Uncontested,街工,泛,,,
1999梁廣昌,1999S02梁廣昌,1999,S,葵青,S02,葵盛東邨,梁廣昌,,男,44,全職議員,Y,,,泛,2012,81.92,
1999梁玉鳳,1999S02梁玉鳳,1999,S,葵青,S02,葵盛東邨,梁玉鳳,,女,36,義務組織者,,,,泛,442,18,
1999許祺祥,1999S03許祺祥,1999,S,葵青,S03,上大窩口,許祺祥,,男,27,營業經理,Y,,民主黨,泛,1694,58.82,
1999何良,1999S03何良,1999,S,葵青,S03,上大窩口,何良,,男,62,社區工作者,,,民建聯,建,1173,40.73,
1999黃炳權,1999S04黃炳權,1999,S,葵青,S04,下大窩口,黃炳權,,男,43,行政主任,Y,,民主黨,泛,1917,53.47,
1999黃錦輝,1999S04黃錦輝,1999,S,葵青,S04,下大窩口,黃錦輝,,男,39,電力工程師,,,民建聯,建,1662,46.36,
1999林玉駒,1999S05林玉駒,1999,S,葵青,S05,葵涌邨,林玉駒,林駒,男,48,教車師傅,,,,其他,76,3.45,
1999周立仁,1999S05周立仁,1999,S,葵青,S05,葵涌邨,周立仁,,男,23,社區幹事,Y,,民主黨,泛,944,42.87,
1999甘浩階,1999S05甘浩階,1999,S,葵青,S05,葵涌邨,甘浩階,,男,43,勞工服務,,,民建聯,建,763,34.65,
1999鍾孝平,1999S05鍾孝平,1999,S,葵青,S05,葵涌邨,鍾孝平,,男,58,工場管理人員,,,街工,泛,410,18.62,
1999盧銳銓,1999S06盧銳銓,1999,S,葵青,S06,石蔭,盧銳銓,,男,58,貿易經理,,,,其他,935,37.82,
1999李志輝,1999S06李志輝,1999,S,葵青,S06,石蔭,李志輝,,男,32,社工,Y,,民主黨,泛,1524,61.65,
1999梁永權,1999S07梁永權,1999,S,葵青,S07,安蔭,梁永權,,男,34,全職區議員,Y,,民主黨,泛,2642,51.44,
1999歐陽寶珍,1999S07歐陽寶珍,1999,S,葵青,S07,安蔭,歐陽寶珍,,女,42,全職議員,,,民建聯,建,2464,47.98,
1999黎少棠,1999S08黎少棠,1999,S,葵青,S08,新石籬,黎少棠,,男,43,旅行社總監,Y,Uncontested,,其他,,,
1999李新賀,1999S09李新賀,1999,S,葵青,S09,石籬,李新賀,,男,62,營業經理,,,,其他,566,22.85,
1999梁國安,1999S09梁國安,1999,S,葵青,S09,石籬,梁國安,,男,48,資深分行經理,,,,建,483,19.5,
1999林紹輝,1999S09林紹輝,1999,S,葵青,S09,石籬,林紹輝,,男,28,儀器技術員,Y,,民主黨,泛,1422,57.41,
1999徐生雄,1999S10徐生雄,1999,S,葵青,S10,大白田,徐生雄,,男,32,營業經理,Y,Uncontested,民主黨,泛,,,
1999陳勇,1999S11陳勇,1999,S,葵青,S11,葵芳,陳勇,,男,30,社工,,,民建聯,建,1785,38.11,
1999梁耀忠,1999S11梁耀忠,1999,S,葵青,S11,葵芳,梁耀忠,,男,46,中學教師,Y,,街工,泛,2885,61.59,
1999單仲偕,1999S12單仲偕,1999,S,葵青,S12,華峰,單仲偕,,男,39,銀行資訊科技副經理,Y,Uncontested,民主黨,泛,,,
1999盧慧蘭,1999S13盧慧蘭,1999,S,葵青,S13,祖堯,盧慧蘭,,女,53,全職區議員,Y,Uncontested,,其他,,,
1999黃耀聰,1999S14黃耀聰,1999,S,葵青,S14,麗瑤,黃耀聰,,男,41,全職議員,Y,,,其他,1433,72.45,
1999程樂蓀,1999S14程樂蓀,1999,S,葵青,S14,麗瑤,程樂蓀,,男,46,註冊保健員,,,,其他,537,27.15,
1999吳劍昇,1999S15吳劍昇,1999,S,葵青,S15,興芳,吳劍昇,,男,32,教師,Y,,民主黨,泛,762,54.39,
1999張彼得,1999S15張彼得,1999,S,葵青,S15,興芳,張彼得,張帆,男,58,藝員／作家,,,民建聯,建,634,45.25,
1999周奕希,1999S16周奕希,1999,S,葵青,S16,荔景,周奕希,,男,42,全職議員,Y,Uncontested,民主黨,泛,,,
1999黃寶山,1999S17黃寶山,1999,S,葵青,S17,葵盛西邨,黃寶山,,男,53,旅遊業從業員,,,,泛,1357,42.04,
1999陸景城,1999S17陸景城,1999,S,葵青,S17,葵盛西邨,陸景城,,男,45,營業經理,Y,,,泛,1842,57.06,
1999譚惠珍,1999S18譚惠珍,1999,S,葵青,S18,雅安,譚惠珍,,女,47,全職議員,Y,,,其他,1336,46.15,
1999鍾箭彪,1999S18鍾箭彪,1999,S,葵青,S18,雅安,鍾箭彪,,男,45,運輸從業員,,,,泛,622,21.49,
1999劉碧堅,1999S18劉碧堅,1999,S,葵青,S18,雅安,劉碧堅,,男,39,技術員,,,民主黨,泛,931,32.16,
1999麥美娟,1999S19麥美娟,1999,S,葵青,S19,偉海,麥美娟,,女,28,行政秘書,Y,,,建,1306,46.58,
1999何佩賢,1999S19何佩賢,1999,S,葵青,S19,偉海,何佩賢,,女,37,行政總監,,,,其他,556,19.83,
1999黃光武,1999S19黃光武,1999,S,葵青,S19,偉海,黃光武,,男,47,倉務總管,,,民主黨,泛,535,19.08,
1999鄧育財,1999S19鄧育財,1999,S,葵青,S19,偉海,鄧育財,,男,39,行政人員,,,青居聯,建,392,13.98,
1999陳笑文,1999S20陳笑文,1999,S,葵青,S20,青衣邨,陳笑文,,男,43,全職區議員,Y,,,其他,2590,81.94,
1999黎德成,1999S20黎德成,1999,S,葵青,S20,青衣邨,黎德成,,男,40,社區工作者,,,民建聯,建,556,17.59,
1999蘇德華,1999S21蘇德華,1999,S,葵青,S21,翠怡,蘇德華,,男,38,保險顧問,,,,其他,391,38.71,
1999羅競成,1999S21羅競成,1999,S,葵青,S21,翠怡,羅競成,,男,40,社區工作者,Y,,民建聯,建,611,60.5,
1999李志強,1999S22李志強,1999,S,葵青,S22,長青,李志強,,男,45,儲運經理,Y,,,建,2438,74.6,
1999姚卓華,1999S22姚卓華,1999,S,葵青,S22,長青,姚卓華,,男,40,旅遊公司經理,,,民主黨,泛,801,24.51,
1999丁衍華,1999S23丁衍華,1999,S,葵青,S23,長康,丁衍華,,男,46,全職議員,Y,,,泛,1949,69.56,
1999李美英,1999S23李美英,1999,S,葵青,S23,長康,李美英,,女,43,全職義工,,,,其他,328,11.71,
1999梁金華,1999S23梁金華,1999,S,葵青,S23,長康,梁金華,,男,46,社團幹事,,,,其他,374,13.35,
1999蔡強,1999S23蔡強,1999,S,葵青,S23,長康,蔡強,,男,47,散工,,,,其他,139,4.96,
1999卓彩鳳,1999S24卓彩鳳,1999,S,葵青,S24,盛康,卓彩鳳,,女,37,全職區議員,,,,泛,1172,34.73,
1999梁偉文,1999S24梁偉文,1999,S,葵青,S24,盛康,梁偉文,,男,49,行政人員,Y,,民建聯,建,2183,64.68,
1999區長華,1999S25區長華,1999,S,葵青,S25,青衣南,區長華,,男,52,青年工作員,Y,Uncontested,民協,泛,,,
1999雷可畏,1999S26雷可畏,1999,S,葵青,S26,長亨,雷可畏,,男,44,董事／經理,Y,,,其他,1571,52.19,
1999陳偉文,1999S26陳偉文,1999,S,葵青,S26,長亨,陳偉文,,男,39,模型製作,,,民主黨,泛,1421,47.21,
1999潘小屏,1999S27潘小屏,1999,S,葵青,S27,發泰,潘小屏,,女,46,託管中心主任,Y,,,其他,1446,47.5,
1999何潤卿,1999S27何潤卿,1999,S,葵青,S27,發泰,何潤卿,,女,41,行政幹事,,,民主黨,泛,701,23.03,
1999趙德誠,1999S27趙德誠,1999,S,葵青,S27,發泰,趙德誠,,男,47,管理人員,,,民協,泛,885,29.07,
1999趙華勝,1999S28趙華勝,1999,S,葵青,S28,長安,趙華勝,,男,52,全職議員,Y,,,其他,2272,70.12,
1999梁家全,1999S28梁家全,1999,S,葵青,S28,長安,梁家全,,男,41,運輸司機,,,,其他,956,29.51,
1999張志榮,1999T01張志榮,1999,T,離島,T01,大嶼山,張志榮,,男,62,社區工作者,,,,建,1467,47.22,
1999崔佩文,1999T01崔佩文,1999,T,離島,T01,大嶼山,崔佩文,,女,43,公司董事,Y,,,其他,1614,51.95,
1999謝偉明,1999T02謝偉明,1999,T,離島,T02,東涌新市鎮,謝偉明,,男,46,地區總幹事,,,民主黨,泛,1195,47.14,
1999周轉香,1999T02周轉香,1999,T,離島,T02,東涌新市鎮,周轉香,,女,48,全職區議員,Y,,民建聯,建,1331,52.5,
1999容詠嫦,1999T03容詠嫦,1999,T,離島,T03,愉景灣,容詠嫦,,女,47,執業會計師,Y,,,泛,552,63.16,
1999馮可強,1999T03馮可強,1999,T,離島,T03,愉景灣,馮可強,,男,53,管理顧問,,,,其他,186,21.28,
1999朱光麗,1999T03朱光麗,1999,T,離島,T03,愉景灣,朱光麗,,女,35,家庭主婦,,,自由黨,建,134,15.33,
1999馬鎮添,1999T04馬鎮添,1999,T,離島,T04,坪洲及喜靈洲,馬鎮添,,男,45,地產代理,,,,其他,821,37.32,
1999林俊傑,1999T04林俊傑,1999,T,離島,T04,坪洲及喜靈洲,林俊傑,,男,36,營業經理,,,,其他,334,15.18,
1999黃開榆,1999T04黃開榆,1999,T,離島,T04,坪洲及喜靈洲,黃開榆,,男,71,商人,Y,,,建,1029,46.77,
1999方錦鴻,1999T05方錦鴻,1999,T,離島,T05,南丫及蒲台,方錦鴻,,男,61,全職區議員,Y,Uncontested,,建,,,
1999鄺國威,1999T06鄺國威,1999,T,離島,T06,長洲南,鄺國威,,男,47,助理副總裁,Y,Uncontested,,建,,,
1999李桂珍,1999T07李桂珍,1999,T,離島,T07,長洲北,李桂珍,,女,47,全職區局議員,Y,Uncontested,民建聯,建,,,
2003阮品強,2003A01阮品強,2003,A,中西區,A01,中環,阮品強,,男,60,區議員,Y,,民主黨,泛,1481,68.25,
2003李偉強,2003A01李偉強,2003,A,中西區,A01,中環,李偉強,,男,42,營業總經理,,,民建聯,建,650,29.95,
2003張翼雄,2003A02張翼雄,2003,A,中西區,A02,半山東,張翼雄,,男,37,張翼雄律師行首席律師,,,,建,1186,35.15,
2003郭家麒,2003A02郭家麒,2003,A,中西區,A02,半山東,郭家麒,,男,42,醫生,Y,,中民力,泛,1624,48.13,
2003莊偉波,2003A03莊偉波,2003,A,中西區,A03,衛城,莊偉波,,男,28,分行經理／認可理財分析師,,,,其他,584,26,
2003鄭麗琼,2003A03鄭麗琼,2003,A,中西區,A03,衛城,鄭麗琼,,女,44,註冊社會工作者,Y,,民主黨,泛,1625,72.35,
2003梁永安,2003A04梁永安,2003,A,中西區,A04,山頂,梁永安,,男,43,執業會計師,,,,建,569,45.12,
2003林文傑,2003A04林文傑,2003,A,中西區,A04,山頂,林文傑,,男,38,律師,Y,,自由黨,建,672,53.29,
2003陳捷貴,2003A05陳捷貴,2003,A,中西區,A05,大學,陳捷貴,,男,54,香港大學宿舍經理,Y,Uncontested,,建,,,
2003楊位款,2003A06楊位款,2003,A,中西區,A06,堅摩,楊位款,,男,47,銀行副經理,Y,,民建聯,建,1241,49.46,
2003莊榮輝,2003A06莊榮輝,2003,A,中西區,A06,堅摩,莊榮輝,,男,29,教育中心校監,,,獨民派,泛,1234,49.18,
2003何秀蘭,2003A07何秀蘭,2003,A,中西區,A07,觀龍,何秀蘭,,女,49,立法會議員,Y,,前綫,泛,1869,50.54,
2003葉國謙,2003A07葉國謙,2003,A,中西區,A07,觀龍,葉國謙,,男,51,漢華教育機構執行秘書,,,民建聯,建,1805,48.81,
2003陳特楚,2003A08陳特楚,2003,A,中西區,A08,西環,陳特楚,,男,58,公司董事,Y,Uncontested,自由黨,建,,,
2003楊浩然,2003A09楊浩然,2003,A,中西區,A09,寶翠,楊浩然,,男,42,律師,Y,,民主黨,泛,1937,44.87,
2003黃哲民,2003A09黃哲民,2003,A,中西區,A09,寶翠,黃哲民,,男,45,保險業助理分區經理,,,民建聯,建,1497,34.68,
2003林其盛,2003A09林其盛,2003,A,中西區,A09,寶翠,林其盛,,男,33,公司董事,,,獨民派,泛,841,19.48,
2003陳財喜,2003A10陳財喜,2003,A,中西區,A10,石塘咀,陳財喜,,男,47,公司董事,Y,,,建,1676,58.81,
2003黎永權,2003A10黎永權,2003,A,中西區,A10,石塘咀,黎永權,,男,45,公司董事,,,獨民派,泛,1146,40.21,
2003陳耀強,2003A11陳耀強,2003,A,中西區,A11,西營盤,陳耀強,,男,52,行政文員,,,民建聯,建,1529,46.19,
2003黎國雄,2003A11黎國雄,2003,A,中西區,A11,西營盤,黎國雄,,男,45,大學榮譽講師／教育行政人員,Y,,獨民派,泛,1744,52.69,
2003甘乃威,2003A12甘乃威,2003,A,中西區,A12,上環,甘乃威,,男,43,註冊社會工作者,Y,,民主黨,泛,1756,69.71,
2003趙華娟,2003A12趙華娟,2003,A,中西區,A12,上環,趙華娟,,女,40,社區工作者,,,民建聯,建,729,28.94,
2003何俊麒,2003A13何俊麒,2003,A,中西區,A13,東華,何俊麒,,男,46,律師,Y,,民主黨,泛,1348,74.03,
2003李永輝,2003A13李永輝,2003,A,中西區,A13,東華,李永輝,,男,38,銀行分行主管,,,民建聯,建,448,24.6,
2003蘇麗容,2003A14蘇麗容,2003,A,中西區,A14,正街,蘇麗容,彭蘇麗容,女,62,印刷及茶葉商人,,,,其他,124,4.77,
2003梁耀祖,2003A14梁耀祖,2003,A,中西區,A14,正街,梁耀祖,,男,30,律師,Y,,民主黨,泛,1693,65.12,
2003劉揚勳,2003A14劉揚勳,2003,A,中西區,A14,正街,劉揚勳,,男,40,銀行助理客戶關係經理,,,民建聯,建,750,28.85,
2003戴卓賢,2003A15戴卓賢,2003,A,中西區,A15,水街,戴卓賢,,男,42,文化出版,Y,,,泛,1327,50.13,
2003温祖堯,2003A15温祖堯,2003,A,中西區,A15,水街,温祖堯,,男,44,印刷公司經理,,,前綫,泛,1254,47.37,
2003鄭其建,2003B01鄭其建,2003,B,灣仔,B01,軒尼詩,鄭其建,,男,32,地區幹事,Y,,公民起動,泛,1064,59.28,
2003李元剛,2003B01李元剛,2003,B,灣仔,B01,軒尼詩,李元剛,,男,42,執業會計師,,,民建聯,建,699,38.94,
2003RABBI IMRAN,2003B02RABBI IMRAN,2003,B,灣仔,B02,愛群,RABBI IMRAN,RICKY,男,23,商人,,,RP,其他,79,3.38,
2003何頴賢,2003B02何頴賢,2003,B,灣仔,B02,愛群,何頴賢,,女,28,註冊社工（香港）,,,公民起動,泛,985,42.09,
2003鄭琴淵,2003B02鄭琴淵,2003,B,灣仔,B02,愛群,鄭琴淵,,女,57,全職議員,Y,,民建聯,建,1248,53.33,
2003李繼雄,2003B03李繼雄,2003,B,灣仔,B03,鵝頸,李繼雄,,男,43,個人理財策劃師,Y,,,泛,1117,53.44,
2003孫啟昌,2003B03孫啟昌,2003,B,灣仔,B03,鵝頸,孫啟昌,,男,49,行政經理,,,民建聯,建,952,45.55,
2003謝永齡,2003B04謝永齡,2003,B,灣仔,B04,銅鑼灣,謝永齡,,男,49,教授,Y,,民主黨,泛,1190,54.49,
2003李均頤,2003B04李均頤,2003,B,灣仔,B04,銅鑼灣,李均頤,,女,34,政黨工商專業組統籌主任,,,民建聯,建,974,44.6,
2003李慶偉,2003B05李慶偉,2003,B,灣仔,B05,大坑,李慶偉,,男,44,社會工作者,Y,,民主黨,泛,1466,62.92,
2003阮鎮泉,2003B05阮鎮泉,2003,B,灣仔,B05,大坑,阮鎮泉,,男,53,工會工作者,,,民建聯,建,830,35.62,
2003龐可榮,2003B06龐可榮,2003,B,灣仔,B06,渣甸山,龐可榮,,男,56,牙科醫生,,,,建,611,32.74,
2003陳耀輝,2003B06陳耀輝,2003,B,灣仔,B06,渣甸山,陳耀輝,,男,46,建築師,Y,,公民起動,泛,1219,65.33,
2003黃英琦,2003B07黃英琦,2003,B,灣仔,B07,樂活,黃英琦,,女,44,律師,Y,Uncontested,,泛,,,
2003吳錦津,2003B08吳錦津,2003,B,灣仔,B08,跑馬地,吳錦津,,男,52,行政董事,Y,,,建,1236,55.28,
2003李偉儀,2003B08李偉儀,2003,B,灣仔,B08,跑馬地,李偉儀,,女,30,大學社會政策研究項目統籌主任,,,公民起動,泛,991,44.32,
2003黃宏泰,2003B09黃宏泰,2003,B,灣仔,B09,司徒拔道,黃宏泰,,男,39,執業會計師,Y,,,建,776,55.04,
2003梁志培,2003B09梁志培,2003,B,灣仔,B09,司徒拔道,梁志培,,男,57,公司董事,,,,其他,262,18.58,
2003張國鈞,2003B09張國鈞,2003,B,灣仔,B09,司徒拔道,張國鈞,,男,29,律師,,,民建聯,建,338,23.97,
2003金佩瑋,2003B10金佩瑋,2003,B,灣仔,B10,修頓,金佩瑋,,女,39,性別研究員,Y,,公民起動,泛,911,58.93,
2003劉珮珊,2003B10劉珮珊,2003,B,灣仔,B10,修頓,劉珮珊,,女,33,地區統籌主任,,,民建聯,建,590,38.16,
2003盧天送,2003B11盧天送,2003,B,灣仔,B11,大佛口,盧天送,,男,58,全職議員,,,民建聯,建,1048,45.62,
2003盧健明,2003B11盧健明,2003,B,灣仔,B11,大佛口,盧健明,,男,46,行政總裁,Y,,灣社盟,泛,1189,51.76,
2003鮑幗潔,2003C01鮑幗潔,2003,C,東區,C01,太古城西,鮑幗潔,,女,56,人力資源顧問,,,,建,698,24.04,
2003羅友聖,2003C01羅友聖,2003,C,東區,C01,太古城西,羅友聖,,男,67,退休,Y,,,其他,2145,73.86,
2003黃球標,2003C02黃球標,2003,C,東區,C02,太古城東,黃球標,,男,28,營業經理,,,民建聯,建,871,23.29,
2003曹漢光,2003C02曹漢光,2003,C,東區,C02,太古城東,曹漢光,,男,56,全職區議員,Y,,獨民派,泛,2830,75.67,
2003傅元章,2003C03傅元章,2003,C,東區,C03,鯉景灣,傅元章,,男,54,保險及僱員福利顧問,Y,Uncontested,港進聯,建,,,
2003勞鍱珍,2003C04勞鍱珍,2003,C,東區,C04,筲箕灣,勞鍱珍,,女,56,全職區議員,Y,Uncontested,民建聯,建,,,
2003李建賢,2003C05李建賢,2003,C,東區,C05,愛秩序灣,李建賢,,男,50,大學講師,Y,,民主黨,泛,2584,53.32,
2003顏尊廉,2003C05顏尊廉,2003,C,東區,C05,愛秩序灣,顏尊廉,,男,55,旅行社業務總監,,,民建聯,建,2211,45.63,
2003杜本文,2003C06杜本文,2003,C,東區,C06,阿公岩,杜本文,,男,54,設計師/行政經理,Y,Uncontested,,其他,,,
2003劉國華,2003C07劉國華,2003,C,東區,C07,杏花邨,劉國華,,男,48,執業律師,,,,建,1421,35.02,
2003陳添勝,2003C07陳添勝,2003,C,東區,C07,杏花邨,陳添勝,,男,44,公司董事,Y,,獨民派,泛,2553,62.91,
